Lat,Lng,Alt,Acc,Time,Prv,OrgLat,OrgLng,OrgAlt,OrgAcc,Speed,Bearing,AdvPrv,Dly,Dst,AltOfst,Pressure,PressureRef,RefAge,FromBT,Sats,Secs,AccDst,Quality,PDOP,VDOP,HDOP,DGPSAge,DGPSStat,Category,TimeWithTZ,TimeWithMS,SpeedKPH,SpeedMPH,Battery
-22.00297,-47.93056,848,2.36,2022-10-17T19:05:08.000Z,gps,-22.00297,-47.93056,844,3.00,0.00,0.0,gps [GPS],00:00:00,0.0,0.0,,,,false,18 / 19,0,0.0,-,1.4,1.2,0.4,-,-,Car,16:05:08 BRT,16:05:08.000,0.00,0.00,93
-22.00303,-47.93055,847,2.36,2022-10-17T19:06:53.000Z,gps,-22.00304,-47.93055,843,3.00,3.05,201.1,gps [GPS],00:01:45,6.4,0.0,,,,false,19 / 19,105,6.4,-,1.2,1.0,0.4,-,-,Car,16:06:53 BRT,16:06:53.000,10.98,6.82,93
-22.00308,-47.93057,847,2.36,2022-10-17T19:06:55.000Z,gps,-22.00310,-47.93058,843,3.00,4.13,207.9,gps [GPS],00:00:02,6.5,0.0,,,,false,19 / 19,107,12.8,-,1.2,1.0,0.4,-,-,Car,16:06:55 BRT,16:06:55.000,14.87,9.24,93
-22.00315,-47.93062,847,2.36,2022-10-17T19:06:57.000Z,gps,-22.00317,-47.93064,843,3.00,5.67,229.0,gps [GPS],00:00:02,9.1,0.0,,,,false,18 / 19,109,22.0,-,1.2,1.0,0.4,-,-,Car,16:06:57 BRT,16:06:57.000,20.41,12.68,93
-22.00319,-47.93067,847,1.77,2022-10-17T19:06:58.000Z,gps,-22.00320,-47.93068,843,2.00,5.54,234.7,gps [GPS],00:00:01,6.8,0.0,,,,false,18 / 19,110,28.8,-,1.2,1.2,0.4,-,-,Car,16:06:58 BRT,16:06:58.000,19.94,12.39,93
-22.00322,-47.93072,847,1.73,2022-10-17T19:06:59.000Z,gps,-22.00323,-47.93073,843,2.00,5.54,240.3,gps [GPS],00:00:01,5.8,0.0,,,,false,18 / 19,111,34.6,-,1.4,1.2,0.4,-,-,Car,16:06:59 BRT,16:06:59.000,19.94,12.39,93
-22.00325,-47.93076,846,1.73,2022-10-17T19:07:00.000Z,gps,-22.00325,-47.93078,842,2.00,5.72,261.7,gps [GPS],00:00:01,5.4,0.0,,,,false,18 / 19,112,40.0,-,1.4,1.2,0.4,-,-,Car,16:07:00 BRT,16:07:00.000,20.59,12.80,93
-22.00323,-47.93086,846,1.77,2022-10-17T19:07:02.000Z,gps,-22.00322,-47.93088,842,2.00,6.26,297.8,gps [GPS],00:00:02,10.4,0.0,,,,false,18 / 18,114,50.4,-,1.2,1.0,0.4,-,-,Car,16:07:02 BRT,16:07:02.000,22.54,14.00,93
-22.00318,-47.93097,846,2.35,2022-10-17T19:07:04.000Z,gps,-22.00317,-47.93101,842,3.00,8.76,290.0,gps [GPS],00:00:02,11.9,0.0,,,,false,19 / 19,116,62.3,-,1.4,1.2,0.4,-,-,Car,16:07:04 BRT,16:07:04.000,31.54,19.60,93
-22.00316,-47.93104,845,2.36,2022-10-17T19:07:05.000Z,gps,-22.00314,-47.93109,841,3.00,9.90,289.4,gps [GPS],00:00:01,8.4,0.0,,,,false,17 / 18,117,70.7,-,1.2,1.0,0.4,-,-,Car,16:07:05 BRT,16:07:05.000,35.64,22.15,93
-22.00313,-47.93113,845,2.36,2022-10-17T19:07:06.000Z,gps,-22.00311,-47.93118,841,3.00,9.84,289.3,gps [GPS],00:00:01,9.2,0.0,,,,false,18 / 19,118,79.9,-,1.4,1.2,0.6,-,-,Car,16:07:06 BRT,16:07:06.000,35.42,22.01,93
-22.00310,-47.93122,845,2.36,2022-10-17T19:07:07.000Z,gps,-22.00308,-47.93127,841,3.00,10.12,287.4,gps [GPS],00:00:01,9.6,0.0,,,,false,18 / 19,119,89.5,-,1.4,1.2,0.4,-,-,Car,16:07:07 BRT,16:07:07.000,36.43,22.64,93
-22.00307,-47.93131,846,2.36,2022-10-17T19:07:08.000Z,gps,-22.00306,-47.93137,842,3.00,10.92,285.9,gps [GPS],00:00:01,10.3,0.0,,,,false,17 / 18,120,99.9,-,1.4,1.2,0.4,-,-,Car,16:07:08 BRT,16:07:08.000,39.31,24.43,93
-22.00306,-47.93139,846,2.76,2022-10-17T19:07:09.000Z,gps,-22.00303,-47.93148,842,4.00,11.52,280.5,gps [GPS],00:00:01,8.3,0.0,,,,false,17 / 19,121,108.2,-,1.2,1.2,0.4,-,-,Car,16:07:09 BRT,16:07:09.000,41.47,25.77,93
-22.00303,-47.93152,845,2.42,2022-10-17T19:07:10.000Z,gps,-22.00302,-47.93158,841,3.00,11.72,276.9,gps [GPS],00:00:01,13.3,0.0,,,,false,17 / 18,122,121.5,-,1.4,1.2,0.4,-,-,Car,16:07:10 BRT,16:07:10.000,42.19,26.22,93
-22.00302,-47.93163,845,2.37,2022-10-17T19:07:11.000Z,gps,-22.00301,-47.93170,841,3.00,11.90,277.7,gps [GPS],00:00:01,11.8,0.0,,,,false,18 / 19,123,133.3,-,1.4,1.2,0.6,-,-,Car,16:07:11 BRT,16:07:11.000,42.84,26.62,93
-22.00300,-47.93174,845,2.36,2022-10-17T19:07:12.000Z,gps,-22.00299,-47.93182,841,3.00,12.07,277.9,gps [GPS],00:00:01,12.0,0.0,,,,false,16 / 18,124,145.3,-,1.2,1.2,0.4,-,-,Car,16:07:12 BRT,16:07:12.000,43.45,27.00,93
-22.00298,-47.93186,845,2.36,2022-10-17T19:07:13.000Z,gps,-22.00297,-47.93193,841,3.00,11.92,277.4,gps [GPS],00:00:01,12.1,0.0,,,,false,17 / 19,125,157.4,-,1.4,1.4,0.6,-,-,Car,16:07:13 BRT,16:07:13.000,42.91,26.66,93
-22.00297,-47.93200,844,1.77,2022-10-17T19:07:14.000Z,gps,-22.00296,-47.93204,840,2.00,11.70,277.2,gps [GPS],00:00:01,15.0,0.0,,,,false,18 / 20,126,172.4,-,1.4,1.2,0.6,-,-,Car,16:07:14 BRT,16:07:14.000,42.12,26.17,93
-22.00295,-47.93212,844,1.73,2022-10-17T19:07:15.000Z,gps,-22.00295,-47.93216,840,2.00,11.76,277.6,gps [GPS],00:00:01,11.9,0.0,,,,false,17 / 20,127,184.3,-,1.2,1.2,0.4,-,-,Car,16:07:15 BRT,16:07:15.000,42.34,26.31,93
-22.00294,-47.93221,844,2.27,2022-10-17T19:07:16.000Z,gps,-22.00293,-47.93227,840,3.00,11.88,278.1,gps [GPS],00:00:01,9.0,0.0,,,,false,17 / 21,129,193.3,-,1.4,1.2,0.6,-,-,Car,16:07:16 BRT,16:07:16.000,42.77,26.57,93
-22.00292,-47.93235,844,1.77,2022-10-17T19:07:17.000Z,gps,-22.00292,-47.93238,840,2.00,11.92,277.8,gps [GPS],00:00:01,14.5,0.0,,,,false,18 / 21,129,207.8,-,1.4,1.2,0.6,-,-,Car,16:07:17 BRT,16:07:17.000,42.91,26.66,93
-22.00291,-47.93246,844,1.73,2022-10-17T19:07:18.000Z,gps,-22.00290,-47.93250,840,2.00,12.23,277.9,gps [GPS],00:00:01,12.0,0.0,,,,false,18 / 20,130,219.9,-,1.2,1.2,0.4,-,-,Car,16:07:18 BRT,16:07:18.000,44.03,27.36,93
-22.00290,-47.93255,844,2.27,2022-10-17T19:07:19.000Z,gps,-22.00289,-47.93262,840,3.00,13.36,276.2,gps [GPS],00:00:01,9.4,0.0,,,,false,17 / 21,131,229.3,-,1.2,1.2,0.4,-,-,Car,16:07:19 BRT,16:07:19.000,48.10,29.89,93
-22.00288,-47.93267,844,2.35,2022-10-17T19:07:20.000Z,gps,-22.00287,-47.93275,840,3.00,14.64,276.1,gps [GPS],00:00:01,12.8,0.0,,,,false,19 / 22,132,242.1,-,1.2,1.2,0.6,-,-,Car,16:07:20 BRT,16:07:20.000,52.70,32.75,93
-22.00287,-47.93281,844,2.36,2022-10-17T19:07:21.000Z,gps,-22.00287,-47.93290,840,3.00,15.25,274.3,gps [GPS],00:00:01,14.1,0.0,,,,false,18 / 21,133,256.2,-,1.2,1.0,0.4,-,-,Car,16:07:21 BRT,16:07:21.000,54.90,34.11,93
-22.00286,-47.93296,844,2.36,2022-10-17T19:07:22.000Z,gps,-22.00286,-47.93305,840,3.00,16.82,274.3,gps [GPS],00:00:01,15.4,0.0,,,,false,18 / 20,134,271.6,-,1.2,1.0,0.4,-,-,Car,16:07:22 BRT,16:07:22.000,60.55,37.63,93
-22.00285,-47.93312,844,2.36,2022-10-17T19:07:23.000Z,gps,-22.00284,-47.93323,840,3.00,18.51,275.6,gps [GPS],00:00:01,17.1,0.0,,,,false,19 / 22,135,288.7,-,1.2,1.0,0.4,-,-,Car,16:07:23 BRT,16:07:23.000,66.64,41.41,93
-22.00283,-47.93330,844,2.36,2022-10-17T19:07:24.000Z,gps,-22.00282,-47.93341,840,3.00,19.70,276.3,gps [GPS],00:00:01,18.3,0.0,,,,false,19 / 22,136,307.0,-,1.2,1.0,0.4,-,-,Car,16:07:24 BRT,16:07:24.000,70.92,44.07,93
-22.00281,-47.93348,845,2.36,2022-10-17T19:07:25.000Z,gps,-22.00280,-47.93360,841,3.00,18.76,276.7,gps [GPS],00:00:01,18.9,0.0,,,,false,17 / 21,137,325.9,-,1.2,1.0,0.4,-,-,Car,16:07:25 BRT,16:07:25.000,67.54,41.96,93
-22.00278,-47.93366,845,2.36,2022-10-17T19:07:26.000Z,gps,-22.00277,-47.93376,841,3.00,15.93,279.7,gps [GPS],00:00:01,17.9,0.0,,,,false,17 / 21,138,343.8,-,1.4,1.2,0.6,-,-,Car,16:07:26 BRT,16:07:26.000,57.35,35.63,93
-22.00276,-47.93381,846,2.36,2022-10-17T19:07:27.000Z,gps,-22.00274,-47.93391,842,3.00,14.64,281.5,gps [GPS],00:00:01,16.3,0.0,,,,false,16 / 20,139,360.1,-,1.4,1.2,0.6,-,-,Car,16:07:27 BRT,16:07:27.000,52.70,32.75,93
-22.00273,-47.93395,846,2.36,2022-10-17T19:07:28.000Z,gps,-22.00272,-47.93404,842,3.00,13.24,280.9,gps [GPS],00:00:01,14.8,0.0,,,,false,17 / 22,140,374.9,-,1.4,1.2,0.6,-,-,Car,16:07:28 BRT,16:07:28.000,47.66,29.62,93
-22.00271,-47.93408,846,2.36,2022-10-17T19:07:29.000Z,gps,-22.00270,-47.93415,842,3.00,11.78,281.5,gps [GPS],00:00:01,13.1,0.0,,,,false,15 / 21,141,388.0,-,1.4,1.2,0.6,-,-,Car,16:07:29 BRT,16:07:29.000,42.41,26.35,93
-22.00269,-47.93419,847,2.36,2022-10-17T19:07:30.000Z,gps,-22.00267,-47.93426,843,3.00,10.04,285.9,gps [GPS],00:00:01,11.8,0.0,,,,false,16 / 21,142,399.8,-,1.6,1.4,0.6,-,-,Car,16:07:30 BRT,16:07:30.000,36.14,22.46,93
-22.00266,-47.93429,847,2.36,2022-10-17T19:07:31.000Z,gps,-22.00265,-47.93435,843,3.00,9.36,289.0,gps [GPS],00:00:01,10.6,0.0,,,,false,16 / 21,143,410.4,-,1.4,1.4,0.6,-,-,Car,16:07:31 BRT,16:07:31.000,33.70,20.94,93
-22.00263,-47.93438,848,2.36,2022-10-17T19:07:32.000Z,gps,-22.00261,-47.93443,844,3.00,8.83,297.6,gps [GPS],00:00:01,9.8,0.0,,,,false,17 / 22,144,420.2,-,1.4,1.4,0.6,-,-,Car,16:07:32 BRT,16:07:32.000,31.79,19.75,93
-22.00258,-47.93445,848,2.36,2022-10-17T19:07:33.000Z,gps,-22.00255,-47.93449,844,3.00,9.28,316.4,gps [GPS],00:00:01,9.0,0.0,,,,false,17 / 21,145,429.2,-,1.4,1.2,0.6,-,-,Car,16:07:33 BRT,16:07:33.000,33.41,20.76,93
-22.00252,-47.93450,848,2.36,2022-10-17T19:07:34.000Z,gps,-22.00247,-47.93454,844,3.00,9.71,337.9,gps [GPS],00:00:01,9.3,0.0,,,,false,17 / 21,146,438.5,-,1.4,1.2,0.6,-,-,Car,16:07:34 BRT,16:07:34.000,34.96,21.72,93
-22.00245,-47.93453,849,2.76,2022-10-17T19:07:35.000Z,gps,-22.00239,-47.93456,845,4.00,9.10,349.7,gps [GPS],00:00:01,7.4,0.0,,,,false,18 / 22,147,445.9,-,1.4,1.2,0.6,-,-,Car,16:07:35 BRT,16:07:35.000,32.76,20.36,93
-22.00238,-47.93455,849,2.86,2022-10-17T19:07:36.000Z,gps,-22.00231,-47.93457,845,4.00,9.67,3.1,gps [GPS],00:00:01,8.5,0.0,,,,false,18 / 22,148,454.4,-,1.2,1.2,0.4,-,-,Car,16:07:36 BRT,16:07:36.000,34.81,21.63,93
-22.00230,-47.93455,849,2.88,2022-10-17T19:07:37.000Z,gps,-22.00223,-47.93455,845,4.00,10.40,16.7,gps [GPS],00:00:01,8.8,0.0,,,,false,18 / 21,149,463.3,-,1.2,1.2,0.4,-,-,Car,16:07:37 BRT,16:07:37.000,37.44,23.26,93
-22.00222,-47.93453,849,2.88,2022-10-17T19:07:38.000Z,gps,-22.00214,-47.93451,845,4.00,10.91,21.6,gps [GPS],00:00:01,9.5,0.0,,,,false,19 / 22,150,472.8,-,1.2,1.2,0.4,-,-,Car,16:07:38 BRT,16:07:38.000,39.28,24.40,93
-22.00210,-47.93449,849,2.43,2022-10-17T19:07:39.000Z,gps,-22.00204,-47.93447,845,3.00,11.27,21.2,gps [GPS],00:00:01,13.2,0.0,,,,false,19 / 22,151,486.0,-,1.2,1.0,0.4,-,-,Car,16:07:39 BRT,16:07:39.000,40.57,25.21,93
-22.00198,-47.93444,850,1.78,2022-10-17T19:07:40.000Z,gps,-22.00194,-47.93443,846,2.00,11.59,20.7,gps [GPS],00:00:01,14.9,0.0,,,,false,19 / 22,152,500.9,-,1.2,1.0,0.4,-,-,Car,16:07:40 BRT,16:07:40.000,41.72,25.93,93
-22.00188,-47.93440,851,1.73,2022-10-17T19:07:41.000Z,gps,-22.00184,-47.93439,847,2.00,11.85,20.1,gps [GPS],00:00:01,12.1,0.0,,,,false,19 / 22,153,513.0,-,1.2,1.0,0.4,-,-,Car,16:07:41 BRT,16:07:41.000,42.66,26.51,93
-22.00178,-47.93436,851,1.73,2022-10-17T19:07:42.000Z,gps,-22.00174,-47.93434,847,2.00,11.84,19.9,gps [GPS],00:00:01,11.9,0.0,,,,false,19 / 22,154,524.9,-,1.2,1.0,0.4,-,-,Car,16:07:42 BRT,16:07:42.000,42.62,26.49,93
-22.00168,-47.93432,852,1.73,2022-10-17T19:07:43.000Z,gps,-22.00164,-47.93430,848,2.00,11.79,19.5,gps [GPS],00:00:01,11.9,0.0,,,,false,19 / 22,155,536.8,-,1.2,1.0,0.4,-,-,Car,16:07:43 BRT,16:07:43.000,42.44,26.37,93
-22.00157,-47.93428,852,1.73,2022-10-17T19:07:44.000Z,gps,-22.00154,-47.93427,848,2.00,11.85,19.9,gps [GPS],00:00:01,11.9,0.0,,,,false,19 / 22,156,548.7,-,1.2,1.0,0.4,-,-,Car,16:07:44 BRT,16:07:44.000,42.66,26.51,93
-22.00147,-47.93424,853,1.73,2022-10-17T19:07:45.000Z,gps,-22.00144,-47.93423,849,2.00,11.93,20.8,gps [GPS],00:00:01,12.1,0.0,,,,false,19 / 22,157,560.7,-,1.2,1.0,0.4,-,-,Car,16:07:45 BRT,16:07:45.000,42.95,26.69,93
-22.00137,-47.93420,853,1.73,2022-10-17T19:07:46.000Z,gps,-22.00134,-47.93418,849,2.00,11.48,21.6,gps [GPS],00:00:01,11.9,0.0,,,,false,19 / 22,158,572.6,-,1.2,1.0,0.4,-,-,Car,16:07:46 BRT,16:07:46.000,41.33,25.68,93
-22.00128,-47.93416,853,1.73,2022-10-17T19:07:47.000Z,gps,-22.00125,-47.93414,849,2.00,10.70,23.0,gps [GPS],00:00:01,11.3,0.0,,,,false,19 / 22,159,583.9,-,1.2,1.0,0.4,-,-,Car,16:07:47 BRT,16:07:47.000,38.52,23.94,93
-22.00119,-47.93411,854,1.73,2022-10-17T19:07:48.000Z,gps,-22.00116,-47.93410,850,2.00,10.54,24.7,gps [GPS],00:00:01,10.8,0.0,,,,false,19 / 22,160,594.7,-,1.2,1.0,0.4,-,-,Car,16:07:48 BRT,16:07:48.000,37.94,23.58,93
-22.00111,-47.93406,855,1.73,2022-10-17T19:07:49.000Z,gps,-22.00108,-47.93405,851,2.00,10.56,25.9,gps [GPS],00:00:01,10.6,0.0,,,,false,19 / 22,161,605.3,-,1.2,1.0,0.4,-,-,Car,16:07:49 BRT,16:07:49.000,38.02,23.62,93
-22.00102,-47.93402,855,1.73,2022-10-17T19:07:50.000Z,gps,-22.00099,-47.93400,851,2.00,10.47,26.3,gps [GPS],00:00:01,10.6,0.0,,,,false,20 / 22,162,615.9,-,1.2,1.0,0.4,-,-,Car,16:07:50 BRT,16:07:50.000,37.69,23.42,93
-22.00094,-47.93397,856,1.73,2022-10-17T19:07:51.000Z,gps,-22.00091,-47.93395,852,2.00,9.89,27.0,gps [GPS],00:00:01,10.3,0.0,,,,false,19 / 22,163,626.2,-,1.2,1.0,0.4,-,-,Car,16:07:51 BRT,16:07:51.000,35.60,22.12,93
-22.00086,-47.93392,856,1.73,2022-10-17T19:07:52.000Z,gps,-22.00084,-47.93391,852,2.00,9.53,27.8,gps [GPS],00:00:01,9.8,0.0,,,,false,20 / 22,164,636.0,-,1.2,1.0,0.4,-,-,Car,16:07:52 BRT,16:07:52.000,34.31,21.32,93
-22.00079,-47.93388,857,1.73,2022-10-17T19:07:53.000Z,gps,-22.00077,-47.93386,853,2.00,8.82,28.5,gps [GPS],00:00:01,9.3,0.0,,,,false,20 / 22,165,645.3,-,1.2,1.0,0.4,-,-,Car,16:07:53 BRT,16:07:53.000,31.75,19.73,93
-22.00072,-47.93384,857,1.73,2022-10-17T19:07:54.000Z,gps,-22.00070,-47.93382,853,2.00,8.04,28.2,gps [GPS],00:00:01,8.7,0.0,,,,false,20 / 22,166,653.9,-,1.2,1.0,0.4,-,-,Car,16:07:54 BRT,16:07:54.000,28.94,17.98,93
-22.00066,-47.93380,858,1.73,2022-10-17T19:07:55.000Z,gps,-22.00064,-47.93379,854,2.00,7.21,28.3,gps [GPS],00:00:01,7.9,0.0,,,,false,21 / 22,167,661.9,-,1.2,1.0,0.4,-,-,Car,16:07:55 BRT,16:07:55.000,25.96,16.13,93
-22.00060,-47.93376,858,1.73,2022-10-17T19:07:56.000Z,gps,-22.00059,-47.93375,854,2.00,6.97,28.9,gps [GPS],00:00:01,7.3,0.0,,,,false,21 / 22,168,669.1,-,1.0,1.0,0.4,-,-,Car,16:07:56 BRT,16:07:56.000,25.09,15.59,93
-22.00056,-47.93374,858,2.27,2022-10-17T19:07:57.000Z,gps,-22.00053,-47.93372,854,3.00,6.78,37.9,gps [GPS],00:00:01,5.4,0.0,,,,false,20 / 22,169,674.5,-,1.0,1.0,0.4,-,-,Car,16:07:57 BRT,16:07:57.000,24.41,15.17,93
-22.00051,-47.93368,858,1.77,2022-10-17T19:07:58.000Z,gps,-22.00050,-47.93366,854,2.00,6.86,62.1,gps [GPS],00:00:01,8.3,0.0,,,,false,21 / 22,170,682.8,-,1.2,1.0,0.4,-,-,Car,16:07:58 BRT,16:07:58.000,24.70,15.35,93
-22.00049,-47.93362,858,1.73,2022-10-17T19:07:59.000Z,gps,-22.00048,-47.93361,854,2.00,6.70,79.0,gps [GPS],00:00:01,6.3,0.0,,,,false,21 / 22,171,689.2,-,1.0,1.0,0.4,-,-,Car,16:07:59 BRT,16:07:59.000,24.12,14.99,93
-22.00046,-47.93357,858,1.73,2022-10-17T19:08:00.000Z,gps,-22.00045,-47.93355,854,2.00,7.28,64.6,gps [GPS],00:00:01,6.6,0.0,,,,false,20 / 22,172,695.8,-,1.0,1.0,0.4,-,-,Car,16:08:00 BRT,16:08:00.000,26.21,16.28,93
-22.00043,-47.93352,858,2.27,2022-10-17T19:08:01.000Z,gps,-22.00041,-47.93349,854,3.00,7.63,44.8,gps [GPS],00:00:01,5.6,0.0,,,,false,20 / 22,173,701.3,-,1.2,1.0,0.4,-,-,Car,16:08:01 BRT,16:08:01.000,27.47,17.07,93
-22.00037,-47.93347,858,1.77,2022-10-17T19:08:02.000Z,gps,-22.00035,-47.93346,854,2.00,7.90,21.8,gps [GPS],00:00:01,9.1,0.0,,,,false,21 / 22,174,710.4,-,1.2,1.0,0.4,-,-,Car,16:08:02 BRT,16:08:02.000,28.44,17.67,93
-22.00030,-47.93344,858,1.73,2022-10-17T19:08:03.000Z,gps,-22.00028,-47.93343,854,2.00,7.90,0.6,gps [GPS],00:00:01,7.9,0.0,,,,false,20 / 22,175,718.3,-,1.0,1.0,0.4,-,-,Car,16:08:03 BRT,16:08:03.000,28.44,17.67,93
-22.00023,-47.93344,858,1.73,2022-10-17T19:08:04.000Z,gps,-22.00021,-47.93344,854,2.00,7.46,343.7,gps [GPS],00:00:01,7.6,0.0,,,,false,21 / 22,176,725.9,-,1.2,1.0,0.4,-,-,Car,16:08:04 BRT,16:08:04.000,26.86,16.69,93
-22.00017,-47.93345,859,1.73,2022-10-17T19:08:05.000Z,gps,-22.00015,-47.93346,855,2.00,6.37,345.5,gps [GPS],00:00:01,6.8,0.0,,,,false,20 / 22,178,732.6,-,1.0,1.0,0.4,-,-,Car,16:08:05 BRT,16:08:05.000,22.93,14.25,93
-22.00012,-47.93346,858,1.73,2022-10-17T19:08:06.000Z,gps,-22.00010,-47.93347,854,2.00,5.79,358.4,gps [GPS],00:00:01,6.1,0.0,,,,false,20 / 23,178,738.8,-,1.2,1.0,0.4,-,-,Car,16:08:06 BRT,16:08:06.000,20.84,12.95,93
-22.00007,-47.93346,858,1.73,2022-10-17T19:08:07.000Z,gps,-22.00005,-47.93346,854,2.00,5.54,15.4,gps [GPS],00:00:01,5.6,0.0,,,,false,21 / 23,179,744.4,-,1.2,1.0,0.4,-,-,Car,16:08:07 BRT,16:08:07.000,19.94,12.39,93
-22.00001,-47.93344,858,1.73,2022-10-17T19:08:08.000Z,gps,-22.00000,-47.93343,854,2.00,6.68,32.0,gps [GPS],00:00:01,6.1,0.0,,,,false,20 / 23,180,750.5,-,1.0,1.0,0.4,-,-,Car,16:08:08 BRT,16:08:08.000,24.05,14.94,93
-21.99996,-47.93341,858,1.73,2022-10-17T19:08:09.000Z,gps,-21.99994,-47.93340,854,2.00,7.80,32.3,gps [GPS],00:00:01,7.1,0.0,,,,false,20 / 23,181,757.6,-,1.2,1.0,0.4,-,-,Car,16:08:09 BRT,16:08:09.000,28.08,17.45,93
-21.99990,-47.93337,858,1.73,2022-10-17T19:08:10.000Z,gps,-21.99988,-47.93335,854,2.00,8.73,30.4,gps [GPS],00:00:01,8.0,0.0,,,,false,21 / 23,182,765.6,-,1.2,1.0,0.4,-,-,Car,16:08:10 BRT,16:08:10.000,31.43,19.53,93
-21.99983,-47.93332,859,1.73,2022-10-17T19:08:11.000Z,gps,-21.99980,-47.93331,855,2.00,9.43,28.6,gps [GPS],00:00:01,9.1,0.0,,,,false,21 / 23,183,774.7,-,1.0,1.0,0.4,-,-,Car,16:08:11 BRT,16:08:11.000,33.95,21.09,93
-21.99975,-47.93328,859,1.73,2022-10-17T19:08:12.000Z,gps,-21.99973,-47.93326,855,2.00,9.97,28.6,gps [GPS],00:00:01,9.6,0.0,,,,false,21 / 23,184,784.3,-,1.0,1.0,0.4,-,-,Car,16:08:12 BRT,16:08:12.000,35.89,22.30,93
-21.99967,-47.93323,859,1.73,2022-10-17T19:08:13.000Z,gps,-21.99964,-47.93321,855,2.00,10.14,28.7,gps [GPS],00:00:01,10.2,0.0,,,,false,20 / 23,185,794.5,-,1.0,1.0,0.4,-,-,Car,16:08:13 BRT,16:08:13.000,36.50,22.68,93
-21.99959,-47.93318,859,1.73,2022-10-17T19:08:14.000Z,gps,-21.99956,-47.93317,855,2.00,10.11,28.3,gps [GPS],00:00:01,10.1,0.0,,,,false,20 / 23,186,804.7,-,1.2,1.0,0.4,-,-,Car,16:08:14 BRT,16:08:14.000,36.40,22.62,93
-21.99951,-47.93314,859,1.73,2022-10-17T19:08:15.000Z,gps,-21.99948,-47.93312,855,2.00,10.21,27.9,gps [GPS],00:00:01,10.1,0.0,,,,false,20 / 23,187,814.8,-,1.2,1.0,0.4,-,-,Car,16:08:15 BRT,16:08:15.000,36.76,22.84,93
-21.99943,-47.93309,859,1.73,2022-10-17T19:08:16.000Z,gps,-21.99940,-47.93307,855,2.00,10.98,27.8,gps [GPS],00:00:01,10.6,0.0,,,,false,20 / 22,188,825.4,-,1.2,1.0,0.4,-,-,Car,16:08:16 BRT,16:08:16.000,39.53,24.56,93
-21.99934,-47.93304,859,1.73,2022-10-17T19:08:17.000Z,gps,-21.99931,-47.93302,855,2.00,12.36,28.0,gps [GPS],00:00:01,11.4,0.0,,,,false,20 / 23,189,836.7,-,1.2,1.0,0.4,-,-,Car,16:08:17 BRT,16:08:17.000,44.50,27.65,93
-21.99924,-47.93298,859,1.73,2022-10-17T19:08:18.000Z,gps,-21.99921,-47.93296,855,2.00,13.52,28.6,gps [GPS],00:00:01,12.4,0.0,,,,false,19 / 23,190,849.2,-,1.2,1.0,0.4,-,-,Car,16:08:18 BRT,16:08:18.000,48.67,30.24,93
-21.99913,-47.93292,859,1.73,2022-10-17T19:08:19.000Z,gps,-21.99909,-47.93290,855,2.00,14.61,28.5,gps [GPS],00:00:01,13.6,0.0,,,,false,19 / 22,191,862.7,-,1.2,1.0,0.4,-,-,Car,16:08:19 BRT,16:08:19.000,52.60,32.68,93
-21.99901,-47.93285,858,1.73,2022-10-17T19:08:20.000Z,gps,-21.99898,-47.93283,854,2.00,15.26,27.8,gps [GPS],00:00:01,14.6,0.0,,,,false,20 / 23,192,877.4,-,1.2,1.2,0.4,-,-,Car,16:08:20 BRT,16:08:20.000,54.94,34.14,93
-21.99889,-47.93278,858,1.73,2022-10-17T19:08:21.000Z,gps,-21.99885,-47.93276,854,2.00,15.28,27.9,gps [GPS],00:00:01,15.0,0.0,,,,false,20 / 23,193,892.4,-,1.2,1.0,0.4,-,-,Car,16:08:21 BRT,16:08:21.000,55.01,34.18,93
-21.99878,-47.93272,858,1.73,2022-10-17T19:08:22.000Z,gps,-21.99874,-47.93270,854,2.00,13.25,28.5,gps [GPS],00:00:01,14.2,0.0,,,,false,18 / 23,194,906.6,-,1.2,1.0,0.4,-,-,Car,16:08:22 BRT,16:08:22.000,47.70,29.64,93
-21.99868,-47.93266,857,1.73,2022-10-17T19:08:23.000Z,gps,-21.99864,-47.93264,853,2.00,12.08,29.2,gps [GPS],00:00:01,13.0,0.0,,,,false,20 / 23,195,919.6,-,1.2,1.0,0.4,-,-,Car,16:08:23 BRT,16:08:23.000,43.49,27.02,93
-21.99858,-47.93260,857,1.73,2022-10-17T19:08:24.000Z,gps,-21.99855,-47.93257,853,2.00,13.16,37.0,gps [GPS],00:00:01,12.7,0.0,,,,false,20 / 23,196,932.4,-,1.2,1.0,0.4,-,-,Car,16:08:24 BRT,16:08:24.000,47.38,29.44,93
-21.99849,-47.93251,856,1.73,2022-10-17T19:08:25.000Z,gps,-21.99845,-47.93249,852,2.00,14.59,46.3,gps [GPS],00:00:01,13.5,0.0,,,,false,19 / 22,197,945.9,-,1.2,1.0,0.4,-,-,Car,16:08:25 BRT,16:08:25.000,52.52,32.64,93
-21.99840,-47.93242,856,1.73,2022-10-17T19:08:26.000Z,gps,-21.99837,-47.93238,852,2.00,14.01,50.5,gps [GPS],00:00:01,13.7,0.0,,,,false,19 / 23,198,959.5,-,1.2,1.2,0.4,-,-,Car,16:08:26 BRT,16:08:26.000,50.44,31.34,93
